,Model Type,Correct,Total,Accuracy
train,TFLite Quantized,2098,2160,0.9712962962962963
val,TFLite Quantized,1938,2160,0.8972222222222223
test,TFLite Quantized,2714,3240,0.8376543209876544
train,TFLite Float,2097,2160,0.9708333333333333
val,TFLite Float,1933,2160,0.8949074074074074
test,TFLite Float,2708,3240,0.8358024691358025
